"sample","dataset","group","state_final","n_cells","C3_avg","C3_pct","AGT_avg","AGT_pct"
"GSM5177042","GSE164241","PD","Inflammatory_Fib",9,0.968121547291963,55.5555555555556,0,0
"GSM5177043","GSE164241","PD","Activated_Fib",1098,0.777632951769464,55.2823315118397,0.0140423912019934,1.09289617486339
"GSM5177043","GSE164241","PD","Adventitial_Fib",123,1.58842997345231,78.0487804878049,0.103522535131375,5.69105691056911
"GSM5177043","GSE164241","PD","ECM_Fib",113,0.22766564828621,15.929203539823,0.110964664996347,8.84955752212389
"GSM5177043","GSE164241","PD","Inflammatory_Fib",2,0,0,0,0
"GSM5177043","GSE164241","PD","PI16_Fib",6,1.6089812880249,66.6666666666667,0,0
"GSM5177044","GSE164241","PD","Activated_Fib",455,0.915104290637231,61.7582417582418,0.0220365470978466,2.1978021978022
"GSM5177044","GSE164241","PD","ECM_Fib",31,0.693799039753749,38.7096774193548,0,0
"GSM5177044","GSE164241","PD","Inflammatory_Fib",6,0.152830214633182,16.6666666666667,0,0
"GSM5220920","GSE171213","NC","Activated_Fib",6,0.240448226311338,16.6666666666667,0,0
"GSM5220920","GSE171213","NC","Adventitial_Fib",4,0.554073547627218,25,0,0
"GSM5220920","GSE171213","NC","ECM_Fib",117,0.758003710424875,37.6068376068376,0,0
"GSM5220921","GSE171213","NC","Activated_Fib",5,0,0,0,0
"GSM5220921","GSE171213","NC","Adventitial_Fib",8,1.09443925396032,37.5,0,0
"GSM5220921","GSE171213","NC","ECM_Fib",27,0.498390801590356,22.2222222222222,0,0
"GSM5220922","GSE171213","NC","Activated_Fib",9,1.0452736010022,44.4444444444444,0,0
"GSM5220922","GSE171213","NC","ECM_Fib",314,1.61457128737738,78.6624203821656,0.0164420201486506,2.54777070063694
"GSM5220923","GSE171213","NC","Adventitial_Fib",3,0,0,0,0
"GSM5220923","GSE171213","NC","ECM_Fib",41,0.0353104591727185,2.4390243902439,0,0
"GSM5220923","GSE171213","NC","PI16_Fib",66,2.1570389586519,86.3636363636364,0,0
"GSM5220924","GSE171213","PD","Activated_Fib",4,0,0,0,0
"GSM5220924","GSE171213","PD","ECM_Fib",264,0.876085355963618,54.9242424242424,0.00996668365234189,0.757575757575758
"GSM5220925","GSE171213","PD","Activated_Fib",6,1.12009840562885,50,0,0
"GSM5220925","GSE171213","PD","Adventitial_Fib",1,0,0,0,0
"GSM5220925","GSE171213","PD","ECM_Fib",136,1.22144723895537,71.3235294117647,0.00661521349758637,0.735294117647059
"GSM5220926","GSE171213","PD","Activated_Fib",6,0,0,0,0
"GSM5220926","GSE171213","PD","Adventitial_Fib",11,0.85047627705884,45.4545454545455,0,0
"GSM5220926","GSE171213","PD","ECM_Fib",84,0.709810119260512,50,0.0627923615007102,4.76190476190476
"GSM5220926","GSE171213","PD","PI16_Fib",71,1.98224246741339,83.0985915492958,0.0396476665635439,2.8169014084507
"GSM5220927","GSE171213","PD","ECM_Fib",2,0,0,0,0
"GSM5220927","GSE171213","PD","PI16_Fib",4,1.70483574921374,75,0,0
"GSM5220928","GSE171213","PD","Activated_Fib",3,0,0,0,0
"GSM5220928","GSE171213","PD","Adventitial_Fib",3,2.85529891810747,100,0,0
"GSM5220928","GSE171213","PD","ECM_Fib",69,0.3705732897158,30.4347826086957,0,0
"GSM5220928","GSE171213","PD","PI16_Fib",3,3.13882813427485,100,0,0
