"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
1.19698825109679e-59,1.54515548503948,0.739,0.504,6.52262837787664e-55,"4","OMD",0.235
1.33947342464674e-56,1.40465009189255,0.728,0.526,7.29905858558501e-52,"4","MDK",0.202
1.63686526608483e-25,1.34230634557538,0.524,0.365,8.91960620794947e-21,"4","PTN",0.159
6.48754996566028e-45,1.3397561334943,0.516,0.229,3.5351957272876e-40,"4","OGN",0.287
4.97141126673409e-24,1.33434597908286,0.36,0.166,2.70902142746874e-19,"4","HBA2",0.194
1.16269289022211e-64,1.32950840857838,0.582,0.251,6.33574609739833e-60,"4","COL11A1",0.331
2.63094174619193e-59,1.07210581619516,0.806,0.537,1.43365277633491e-54,"4","POSTN",0.269
9.25559447302147e-27,1.03587341429416,0.498,0.282,5.04355854023886e-22,"4","HBB",0.216
2.61419823886273e-48,1.02105698485766,0.466,0.198,1.42452890432108e-43,"4","SFRP4",0.268
3.90957983530379e-33,0.99306853400206,0.565,0.36,2.13040824385374e-28,"4","S100A8",0.205
6.35917800240884e-46,0.892306757707705,0.889,0.722,3.46524327707263e-41,"4","IGFBP5",0.167
2.3653365436789e-60,0.869464244493531,0.853,0.558,1.28891918938151e-55,"4","FDCSP",0.295
4.67954485674886e-40,0.624071013067658,0.84,0.669,2.54997758333959e-35,"4","COL12A1",0.171
6.22654680808594e-192,3.50380103509009,0.942,0.574,3.39296988666219e-187,"5","APOD",0.368
4.34442425735956e-213,2.86769472807996,0.952,0.534,2.36736366632037e-208,"5","CFD",0.418
8.34953647441851e-41,2.8666977616726,0.303,0.086,4.54982941564014e-36,"5","ITM2A",0.217
2.31813467471643e-122,2.7990467717949,0.654,0.178,1.26319794694648e-117,"5","ABCA8",0.476
2.23083153588284e-30,2.64715520200867,0.221,0.047,1.21562472053328e-25,"5","LSP1",0.174
8.64351582251139e-94,2.41571614600498,0.648,0.296,4.71002464200291e-89,"5","IL11RA",0.352
7.74511399711295e-128,2.34942163830459,0.836,0.43,4.22046751930679e-123,"5","PTGDS",0.406
9.96519806118425e-81,2.25449023243275,0.764,0.528,5.43023572750052e-76,"5","APOE",0.236
2.2522473638324e-163,2.22953432294486,0.909,0.633,1.22729463349955e-158,"5","GSN",0.276
2.69333012900846e-30,2.18661630464523,0.369,0.163,1.46764945389929e-25,"5","SFRP1",0.206
4.33717417954057e-31,2.17891518274867,0.3,0.094,2.36341295391525e-26,"5","FGL2",0.206
4.90391352783046e-32,2.11851961431342,0.287,0.112,2.67224055958537e-27,"5","TNFSF13B",0.175
3.8573088127097e-27,1.99557007268033,0.253,0.094,2.10192471822177e-22,"5","SLPI",0.159
1.19529429231985e-35,1.9796295864256,0.344,0.117,6.51339765770932e-31,"5","NFIB",0.227
2.17211657934557e-47,1.9443974246561,0.433,0.173,1.18362976641699e-42,"5","SPARCL1",0.26
9.25961442297581e-57,1.8549276834369,0.474,0.183,5.04574909136798e-52,"5","NTRK2",0.291
2.5399002248786e-117,1.85185327772792,0.824,0.447,1.38404243054085e-112,"5","PLAC9",0.377
2.41357699495818e-20,1.84967750530768,0.214,0.054,1.31520637609261e-15,"5","TSPAN8",0.16
2.90646273642314e-44,1.82181708513141,0.493,0.246,1.5837896743317e-39,"5","TXNIP",0.247
8.82212864402782e-33,1.79756590544824,0.301,0.114,4.80735434070364e-28,"5","CP",0.187
1.52412857249659e-54,1.73190760793353,0.612,0.352,8.30528141724843e-50,"5","EPHX1",0.26
6.69905455009974e-67,1.71661667056042,0.77,0.49,3.65044880544035e-62,"5","MGP",0.28
1.21445254729859e-31,1.7101816725254,0.538,0.345,6.61779482073946e-27,"5","HES1",0.193
1.78985079936786e-59,1.69171883006909,0.772,0.505,9.75325497591536e-55,"5","CLU",0.267
2.0069573363139e-52,1.64980092923781,0.63,0.41,1.09363119170417e-47,"5","GAS6",0.22
4.96702748561644e-75,1.55026056496769,0.847,0.679,2.70663261746211e-70,"5","CFH",0.168
1.34598314413329e-23,1.52956541457084,0.382,0.213,7.33453134901112e-19,"5","TNFSF10",0.169
5.06161507510095e-31,1.436617540175,0.413,0.241,2.75817528672401e-26,"5","NFIA",0.172
8.4348640190188e-37,1.33495166127655,0.535,0.335,4.59632610124373e-32,"5","EFEMP1",0.2
6.33217536595973e-50,1.29808634009895,0.785,0.532,3.45052900041878e-45,"5","CXCL14",0.253
5.08980288124825e-83,8.4367897471868,0.325,0.001,2.77353538604979e-78,"6","PI16",0.324
5.0311595037252e-123,7.55588439417274,0.446,0.008,2.74157943676994e-118,"6","MFAP5",0.438
1.95325241340942e-41,6.60009954361279,0.175,0.006,1.06436630511506e-36,"6","THBS4",0.169
2.13396975269387e-50,6.43989301769074,0.218,0.008,1.16284279763795e-45,"6","PCOLCE2",0.21
2.10763828426851e-50,6.08094504574665,0.213,0.007,1.1484942538636e-45,"6","ADH1B",0.206
