"sample","group","dataset","cohort","state_final","n_cells","AGT_mean","AGT_positive_fraction","C3_mean","C3_positive_fraction","ECM_TGFB_score","C3_CD44_score"
"GSM5177039","NC","GSE164241","GSM517_cohort","PI16_Fib",2,0,0,1.38136663831097,0.5,0.372185758260221,-0.00896086808556074
"GSM5177039","NC","GSE164241","GSM517_cohort","Unassigned_Fib",116,0.0145839042461231,0.0172413793103448,0.0170197448777759,0.0172413793103448,0.857166971933639,0.509292557080918
"GSM5177040","NC","GSE164241","GSM517_cohort","Activated_Fib",38,0,0,0.380538264122127,0.263157894736842,1.20693249581781,0.608527027228582
"GSM5177040","NC","GSE164241","GSM517_cohort","Adventitial_Fib",50,0.0300076951068664,0.04,0.462326310889738,0.4,0.806176668913081,0.226900120927185
"GSM5177040","NC","GSE164241","GSM517_cohort","ECM_Fib",28,0,0,0.420110692932967,0.357142857142857,1.32372500806678,0.700283177761081
"GSM5177040","NC","GSE164241","GSM517_cohort","Inflammatory_Fib",2,0.710194724601626,0.5,0.710194724601626,0.5,0.969047829654055,0.500195668670755
"GSM5177040","NC","GSE164241","GSM517_cohort","PI16_Fib",21,0,0,0.683171073987752,0.476190476190476,0.488357770436129,0.0177964182243941
"GSM5177040","NC","GSE164241","GSM517_cohort","Unassigned_Fib",5,0,0,0,0,0.70127761685757,0.348244620187013
"GSM5177041","NC","GSE164241","GSM517_cohort","Activated_Fib",157,0,0,1.00768175878803,0.713375796178344,1.1058517875643,0.733770361535899
"GSM5177041","NC","GSE164241","GSM517_cohort","Adventitial_Fib",61,0,0,1.25011029301744,0.704918032786885,0.771147461251255,0.35430753665262
"GSM5177041","NC","GSE164241","GSM517_cohort","ECM_Fib",18,0,0,1.04656289866218,0.444444444444444,1.12061288394965,0.745325080888244
"GSM5177041","NC","GSE164241","GSM517_cohort","PI16_Fib",97,0.0324218182909959,0.0103092783505155,1.54903095750714,0.680412371134021,0.416628201393662,0.281400453051097
