"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
8.98352383147014e-46,1.09036454311377,0.543,0.211,4.89530180624471e-41,"0","WLS",0.332
1.00741473779327e-45,1.11733583389486,0.48,0.17,5.4896043891831e-41,"0","FYN",0.31
1.10463187684328e-45,0.98877330532328,0.514,0.203,6.01936002329441e-41,"0","GOLGB1",0.311
1.48934684060781e-45,1.04386064215848,0.444,0.154,8.1157488038401e-41,"0","SHC1",0.29
1.52761280543433e-45,0.614013583240538,0.954,0.762,8.32426769937273e-41,"0","DDX5",0.192
2.40661979955586e-45,0.93614004154184,0.526,0.21,1.31141526117398e-40,"0","AHCYL1",0.316
2.474049823114e-45,1.01365422617702,0.525,0.192,1.34815922961128e-40,"0","TOP1",0.333
2.93260076803829e-45,1.66442940745999,0.312,0.07,1.59803281051942e-40,"0","SDK1",0.242
6.24010184867759e-45,1.20482242589775,0.325,0.088,3.40035629938139e-40,"0","NFKB2",0.237
6.53533193901321e-45,1.78115424060664,0.416,0.102,3.56123308020708e-40,"0","ETS2",0.314
1.01566657932287e-44,1.46379472233185,0.338,0.08,5.53457032404617e-40,"0","TBX2",0.258
1.27752158304617e-44,1.05627441182903,0.654,0.302,6.96147061033521e-40,"0","HIF1A",0.352
1.40635263882311e-44,0.899550760274724,0.747,0.413,7.66349679947489e-40,"0","MYADM",0.334
1.6483451758039e-44,1.30773177757172,0.478,0.17,8.98216253199059e-40,"0","CCND1",0.308
1.85419558308726e-44,0.885454853847294,0.699,0.334,1.01038825713591e-39,"0","LTBP2",0.365
2.01492266312595e-44,1.79268076671756,0.344,0.075,1.09797165759059e-39,"0","NFIL3",0.269
2.10814666967494e-44,1.1181460514473,0.459,0.147,1.14877128323927e-39,"0","OSMR",0.312
2.16342358245143e-44,1.76087072311534,0.392,0.111,1.17889277854943e-39,"0","ACSL4",0.281
2.25912688138078e-44,1.1979566009777,0.51,0.179,1.23104342020202e-39,"0","MAFF",0.331
3.07709707480614e-44,1.27966401833157,0.421,0.123,1.67677173800336e-39,"0","PPP1R14B",0.298
5.0459635792748e-44,1.01410383951995,0.86,0.592,2.74964647361842e-39,"0","SAT1",0.268
5.97593228812344e-44,1.28346743633255,0.435,0.14,3.25640502244422e-39,"0","RHOQ",0.295
1.30336280410306e-43,1.41019184966018,0.417,0.118,7.10228459211842e-39,"0","KLF13",0.299
1.35437417881672e-43,1.46264483737285,0.49,0.164,7.38025577520809e-39,"0","PCSK5",0.326
2.03320989197866e-43,0.895511220450417,0.724,0.322,1.10793673433701e-38,"0","SRRM2",0.402
4.20851852984969e-43,0.929359201422174,0.772,0.438,2.29330591728569e-38,"0","COL4A2",0.334
6.02153973087888e-43,0.861598413800617,0.626,0.267,3.28125743015052e-38,"0","TOMM20",0.359
6.84935403031557e-43,0.793861925038653,0.608,0.266,3.73234999819956e-38,"0","AKAP13",0.342
8.13896140945634e-43,0.913269988134658,0.606,0.256,4.43508285124095e-38,"0","MACF1",0.35
8.926030442627e-43,0.890630865169459,0.631,0.284,4.8639725087963e-38,"0","SLC38A2",0.347
1.26711378561563e-42,0.693228170325566,0.648,0.307,6.90475644057667e-38,"0","H2AFJ",0.341
1.36355010321213e-42,1.2553179378673,0.415,0.114,7.43025722242355e-38,"0","FAM65C",0.301
1.9208355526792e-42,1.30055728634868,0.63,0.278,1.04670170936595e-37,"0","MIR4435-2HG",0.352
