"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
5.29740066208797e-214,3.50688228347776,0.968,0.654,2.88665956878498e-209,"7","GSN",0.314
5.36431969925633e-38,3.4647059272273,0.325,0.092,2.92312509051876e-33,"7","SLPI",0.233
8.65492341101099e-60,3.45153393805909,0.397,0.082,4.71624086512811e-55,"7","RAMP2",0.315
7.45518816346808e-177,4.61262613110819,0.724,0.035,4.06248113403703e-172,"8","ZNF90",0.689
2.84076038077688e-44,4.17435093732781,0.196,0.008,1.54798714669294e-39,"8","RP11-255M2.3",0.188
1.39646290165453e-139,4.0406733859452,0.593,0.03,7.60960564369585e-135,"8","RP11-166O4.6",0.563
1.58506834388368e-49,3.78675655195036,0.243,0.01,8.63735441949093e-45,"8","RP11-356C4.3",0.233
1.8169084497752e-74,3.50649155254048,0.391,0.036,9.90069752451502e-70,"8","NACA2",0.355
4.93702093281011e-205,3.37840123667942,0.951,0.24,2.69028144670688e-200,"8","NBEAL1",0.711
3.73342398118126e-57,3.11666962489109,0.305,0.026,2.03441739582529e-52,"8","AC004556.1",0.279
7.81253931376338e-49,2.66375848347239,0.29,0.038,4.25720892285594e-44,"8","UQCRHL",0.252
1.57444307271631e-51,2.57207342138519,0.357,0.047,8.5794551918457e-47,"8","ATP5EP2",0.31
1.35898347242451e-41,2.54252668161236,0.256,0.031,7.40537273793566e-37,"8","RP11-347P5.1",0.225
6.04402058307969e-27,2.4085161071373,0.191,0.032,3.29350769613179e-22,"8","NDRG4",0.159
9.30186715548253e-33,2.31551627248141,0.225,0.043,5.06877345036554e-28,"8","GTF2IRD1",0.182
1.20619581385455e-34,2.29261507159484,0.292,0.052,6.57280222885624e-30,"8","ACP5",0.24
9.51360144936795e-41,2.26819683231677,0.303,0.051,5.18415170178958e-36,"8","BEST1",0.252
8.72152558047894e-31,2.21946030785006,0.189,0.026,4.75253371931458e-26,"8","HNRNPA1L2",0.163
6.28344363821338e-53,2.09236816495417,0.423,0.099,3.42397410733524e-48,"8","CFB",0.324
2.5279734066557e-31,2.02670487920966,0.231,0.035,1.37754326875482e-26,"8","RP11-108M9.4",0.196
5.4587657342328e-24,1.95998977933267,0.225,0.044,2.97459062389814e-19,"8","NDUFA7",0.181
3.89078366476886e-128,1.95151555453381,0.977,0.652,2.12016583460585e-123,"8","BGN",0.325
1.38049226095743e-64,1.90548666466833,0.589,0.165,7.52257842840923e-60,"8","CD68",0.424
5.13476133820624e-34,1.88713666150323,0.301,0.066,2.79803414841534e-29,"8","DHRS4",0.235
2.9553884643713e-110,1.87461714470287,0.885,0.419,1.61045028200521e-105,"8","CERCAM",0.466
1.31898973993655e-30,1.84453763408544,0.243,0.05,7.18743889086224e-26,"8","RNASE4",0.193
4.24062967317091e-34,1.80232508774819,0.353,0.102,2.31080392150429e-29,"8","HEY2",0.251
1.42453156768931e-32,1.80219451868438,0.344,0.099,7.76255741865259e-28,"8","PIGS",0.245
1.37735006591941e-27,1.77961786977548,0.31,0.09,7.50545597920807e-23,"8","NHSL2",0.22
1.5338177729972e-41,1.75593962153884,0.323,0.065,8.35807980861632e-37,"8","SNHG25",0.258
4.08180358802894e-21,1.73032893411519,0.204,0.054,2.22425641118873e-16,"8","PSMA6",0.15
2.13796856112903e-43,1.72932001478597,0.393,0.096,1.16502182833043e-38,"8","GABARAP",0.297
1.85880831594992e-134,1.72399952633091,0.989,0.519,1.01290182752743e-129,"8","RPL36A",0.47
6.85400188721375e-78,6.90621931424847,0.331,0.006,3.73488270838052e-73,"9","GZMK",0.325
1.54771278126258e-104,6.75852238334024,0.434,0.007,8.43379648765603e-100,"9","GZMA",0.427
7.93424081920425e-132,6.67729134829138,0.547,0.01,4.32352650720078e-127,"9","CD2",0.537
1.69074506608512e-88,6.64074835615091,0.362,0.004,9.21320801411102e-84,"9","CD3G",0.358
4.95195476255966e-165,6.61558741760698,0.643,0.013,2.69841918921401e-160,"9","CD3D",0.63
