"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.42642917977049e-14,0.319521247036854,0.991,0.945,4.04680978864053e-09,"9","RPS15"
9.07256722157288e-14,0.961630954098548,0.405,0.223,4.94382333037949e-09,"9","RARRES3"
1.73555338374393e-13,1.84093225622133,0.115,0.032,9.45737749869741e-09,"9","CDC42EP3"
1.96744357071815e-13,1.4250141946606,0.253,0.099,1.07209935055574e-08,"9","TNFAIP8"
2.54924854542523e-13,1.04569426782947,0.397,0.228,1.38913651737311e-08,"9","RPS4Y1"
2.95763554605029e-13,0.781438469002344,0.536,0.327,1.61167476175372e-08,"9","ID2"
3.59969753109444e-13,0.688886545255322,0.758,0.619,1.96154717864398e-08,"9","ARPC2"
4.3200175965978e-13,1.82058811295364,0.144,0.035,2.35406398873807e-08,"9","RCAN3"
4.41413968500091e-13,1.05497031839154,0.344,0.181,2.40535299715069e-08,"9","AAK1"
5.3978682018462e-13,0.294227253274662,1,0.999,2.94140634055003e-08,"9","B2M"
6.49874037199144e-13,0.538971963633717,0.786,0.67,3.54129360350558e-08,"9","HINT1"
1.46833523936191e-12,0.312400519400505,0.991,0.939,8.00125238633091e-08,"9","RPS28"
3.40541872544533e-12,0.352115292171015,0.948,0.91,1.85568077186967e-07,"9","RPS5"
3.85582142618011e-12,1.79849154921108,0.196,0.068,2.10111421155407e-07,"9","DIAPH1"
3.90420131026106e-12,1.09705872083639,0.242,0.106,2.12747737798746e-07,"9","LINC-PINT"
4.16199181741249e-12,1.18688157561648,0.338,0.166,2.26795258114441e-07,"9","RNASET2"
4.86270286328098e-12,0.329637993946683,0.941,0.903,2.64978404425907e-07,"9","RPL27"
5.0609688188144e-12,0.816136958693961,0.29,0.161,2.75782312874834e-07,"9","HMGB2"
5.23999043882356e-12,1.46974691278233,0.194,0.087,2.85537558992374e-07,"9","EFHD2"
7.30255380309604e-12,1.11769607090552,0.268,0.132,3.97930761838309e-07,"9","ODC1"
7.47389549391965e-12,1.14183061732811,0.235,0.108,4.0726751325467e-07,"9","CH17-189H20.1"
8.81245181277124e-12,2.33713364035502,0.135,0.035,4.8020812418153e-07,"9","RP11-347P5.1"
8.95056808201055e-12,1.20006460782428,0.368,0.197,4.87734355924919e-07,"9","FNBP1"
9.42212780066889e-12,0.599043673245351,0.649,0.459,5.13430588114049e-07,"9","GLTSCR2"
1.13369743079028e-11,0.313883408113083,0.989,0.922,6.1777440398624e-07,"9","RPL35"
