"target","sample","measure","value"
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.454859655674795
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.421702693948338
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",1.2818454962062
"Neutrophils","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",1.9430969057678
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00323260106030216
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",48.9087866078143
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00318570366286013
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",51.5971691456731
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.464987378699601
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.398737585630007
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",1.45076353583966
"pDCs","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",2.6883825378588
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0142445396903645
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",43.8283229957376
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0138030594426614
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",47.4890616806664
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.402260441956603
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.385114133235196
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",3.09929458795873
"Pericytes","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",3.6607386849288
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0149800860664976
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",28.4980688500241
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0149367079647376
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",30.3748123141927
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.494544082645281
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.422748221874162
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",0.289571779277112
"PI16_Fib","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",1.8767434641686
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.0136509156979312
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",12.9101884208767
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.0164222450298125
