"view","Predictor","Target","Importance","nsamples"
"juxta.50","juxtaECM_Fib","B.cells",-0.555920335508065,1
"juxta.50","juxtaECM_Fib","Cycling.cells",0.0444308248064098,1
"juxta.50","juxtaECM_Fib","ECM_Fib",2.69369428370414,1
"juxta.50","juxtaECM_Fib","Endothelial.cells",0.495618397356578,1
"juxta.50","juxtaECM_Fib","Epithelial.cells",0.965262224183565,1
"juxta.50","juxtaECM_Fib","Inflammatory_Fib",0.645415450766902,1
"juxta.50","juxtaECM_Fib","Macrophages",-0.171290423010963,1
"juxta.50","juxtaECM_Fib","Mast.cells",1.10636697002473,1
"juxta.50","juxtaECM_Fib","Neutrophils",-0.68488871978517,1
"juxta.50","juxtaECM_Fib","PI16_Fib",0.332210873029407,1
"juxta.50","juxtaECM_Fib","Pericytes",0.344273003192344,1
"juxta.50","juxtaECM_Fib","Plasma.cells",0.073831051073296,1
"juxta.50","juxtaECM_Fib","T.cells",0.383612391815239,1
"juxta.50","juxtaECM_Fib","pDCs",-0.689633182411321,1
"juxta.50","juxtaEndothelial.cells","Activated_Fib",-0.220739010334761,1
"juxta.50","juxtaEndothelial.cells","Adventitial_Fib",-0.465116016043714,1
"juxta.50","juxtaEndothelial.cells","B.cells",-0.617022018811246,1
"juxta.50","juxtaEndothelial.cells","Cycling.cells",-0.00645919292132423,1
"juxta.50","juxtaEndothelial.cells","ECM_Fib",-0.483393467608344,1
"juxta.50","juxtaEndothelial.cells","Endothelial.cells",0.636828436055112,1
"juxta.50","juxtaEndothelial.cells","Epithelial.cells",0.129529726344588,1
"juxta.50","juxtaEndothelial.cells","Inflammatory_Fib",0.0917670557769075,1
"juxta.50","juxtaEndothelial.cells","Macrophages",-0.287275226219109,1
"juxta.50","juxtaEndothelial.cells","Mast.cells",-0.563931762998622,1
"juxta.50","juxtaEndothelial.cells","Neutrophils",0.992944622395062,1
"juxta.50","juxtaEndothelial.cells","PI16_Fib",0.776783044931064,1
"juxta.50","juxtaEndothelial.cells","Pericytes",-0.337665404495129,1
"juxta.50","juxtaEndothelial.cells","Plasma.cells",-0.742030976456503,1
"juxta.50","juxtaEndothelial.cells","T.cells",0.633781804694974,1
