"gene_name","module","kME"
"COL5A2","Fibroblasts5",0.364178268339726
"GALNT1","Fibroblasts5",0.36381695791513
"MAF","Fibroblasts5",0.360734859551229
"MYH10","Fibroblasts5",0.346674650732011
"CKAP4","Fibroblasts5",0.346101895170142
"SEC31A","Fibroblasts5",0.335876786125469
"PEA15","Fibroblasts5",0.33409110061034
"CRTAP","Fibroblasts5",0.331958590387343
"VCAN","Fibroblasts5",0.322784512000143
"UQCRHL","Fibroblasts5",0.320415868486515
"NID1","Fibroblasts5",0.31892018294434
"HMCN1","Fibroblasts5",0.31348314084847
"PALLD","Fibroblasts5",0.313269472148978
"ACTR2","Fibroblasts5",0.312086324727176
"ENAH","Fibroblasts5",0.308361036500362
"PLXDC2","Fibroblasts5",0.299179929910266
"THBS2","Fibroblasts5",0.29757002335739
"CILP2","Fibroblasts5",0.295601087640711
"SCARB2","Fibroblasts5",0.295468556486169
"MYLK","Fibroblasts5",0.293775877470704
"ARL4C","Fibroblasts5",0.293562429338439
"SEPT2","Fibroblasts5",0.293172471915276
"CXCR4","Fibroblasts5",0.284392085836672
"ANTXR1","Fibroblasts5",0.281309142699736
"CANX","Fibroblasts5",0.278866398409943
"LRRC15","Fibroblasts5",0.275607993633786
"ADAMTS2","Fibroblasts5",0.274692702746097
"PLOD2","Fibroblasts5",0.274605515608493
"ADD1","Fibroblasts5",0.27347818249119
"CRISPLD2","Fibroblasts5",0.272703605405586
"CTNNB1","Fibroblasts6",0.486568141397141
"HNRNPH1","Fibroblasts6",0.478343596581132
"GOLIM4","Fibroblasts6",0.464281822546039
"B4GALT1","Fibroblasts6",0.458749864480814
"CDC42SE1","Fibroblasts6",0.414549626412476
"PTPRS","Fibroblasts6",0.37931545996413
"CDC42","Fibroblasts6",0.379051499032025
"C1orf56","Fibroblasts6",0.378953973632752
"PPP1CB","Fibroblasts6",0.376383892571766
"SET","Fibroblasts6",0.36953836032559
"EIF5A","Fibroblasts6",0.337542182879197
"BICC1","Fibroblasts6",0.334623165255886
"PPP3CA","Fibroblasts6",0.327576168723935
"MDM4","Fibroblasts6",0.324581870266258
