"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY","1/48","19/6031",0.0526315789473684,6.61293859649123,2.19471119568247,0.14105606067385,0.280527221789568,0.230227514760394,"3554",1
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION","KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION","1/48","19/6031",0.0526315789473684,6.61293859649123,2.19471119568247,0.14105606067385,0.280527221789568,0.230227514760394,"7474",1
"KEGG_SMALL_CELL_LUNG_CANCER","KEGG_SMALL_CELL_LUNG_CANCER","2/48","84/6031",0.0238095238095238,2.99156746031746,1.64628669746519,0.143663303359665,0.282537829940674,0.231877612440161,"3912/1282",2
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_TO_RAC_SIGNALING_PATHWAY","1/48","20/6031",0.05,6.28229166666667,2.11925777279536,0.147913896516774,0.287700655862296,0.236114722027933,"71",1
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","KEGG_HEMATOPOIETIC_CELL_LINEAGE","2/48","87/6031",0.0229885057471264,2.88840996168582,1.58904531426805,0.151938882092572,0.291332400085067,0.239095279284801,"3554/4311",2
"KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY","1/48","21/6031",0.0476190476190476,5.98313492063492,2.04877766396521,0.154718110951509,0.291332400085067,0.239095279284801,"71",1
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION","2/48","88/6031",0.0227272727272727,2.85558712121212,1.57050597820166,0.154718901740092,0.291332400085067,0.239095279284801,"3320/3326",2
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","4/48","264/6031",0.0151515151515152,1.90372474747475,1.34487814515103,0.156974822401237,0.292468879631778,0.240027983283886,"3554/3572/5159/5156",4
"KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY","KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY","1/48","23/6031",0.0434782608695652,5.46286231884058,1.92057918723764,0.168167314176688,0.294865728211194,0.241995066863781,"196",1
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY","1/48","23/6031",0.0434782608695652,5.46286231884058,1.92057918723764,0.168167314176688,0.294865728211194,0.241995066863781,"3693",1
"KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY","1/48","23/6031",0.0434782608695652,5.46286231884058,1.92057918723764,0.168167314176688,0.294865728211194,0.241995066863781,"3693",1
"KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY","1/48","23/6031",0.0434782608695652,5.46286231884058,1.92057918723764,0.168167314176688,0.294865728211194,0.241995066863781,"2782",1
"KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY","1/48","24/6031",0.0416666666666667,5.23524305555556,1.86197959459078,0.174813114596048,0.294865728211194,0.241995066863781,"2782",1
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY","1/48","24/6031",0.0416666666666667,5.23524305555556,1.86197959459078,0.174813114596048,0.294865728211194,0.241995066863781,"2778",1
