"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050921","positive regulation of chemotaxis","5/95","145/18860",0.0344827586206897,6.84573502722323,5.02776603632895,0.000833673031131758,0.0292841784859059,0.0230292271926918,"FGFR1/WNT5A/PDGFRB/PDGFRA/SERPINE1",5
"BP","GO:0048511","rhythmic process","7/95","302/18860",0.0231788079470199,4.60160334611363,4.48932054595709,0.000836017962404231,0.0292841784859059,0.0230292271926918,"JUND/KLF9/EGR1/TWIST1/AHR/PDGFRA/HNRNPU",7
"BP","GO:0048048","embryonic eye morphogenesis","3/95","37/18860",0.0810810810810811,16.0967283072546,6.54012619976493,0.000849675878079598,0.0293492209553328,0.0230803769221037,"FBN1/TWIST1/WNT5A",3
"BP","GO:0051338","regulation of transferase activity","7/95","304/18860",0.0230263157894737,4.5713296398892,4.46654173730428,0.000868875802835049,0.0296012893376817,0.0232786047825165,"DDR2/FBN1/FGFR1/WNT5A/PDGFRB/MIDN/HNRNPU",7
"BP","GO:0071383","cellular response to steroid hormone stimulus","6/95","222/18860",0.027027027027027,5.36557610241821,4.65548836358231,0.000904032518723649,0.0303828226225097,0.0238932065403775,"KLF9/PMEPA1/CYP7B1/DDX17/NR4A3/HNRNPU",6
"BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","7/95","311/18860",0.022508038585209,4.46843797596886,4.38834461382535,0.000991999708281618,0.0328947103266184,0.0258685678313999,"IL1R1/DDR2/TWIST1/FGFR1/WNT5A/PDGFRB/PDGFRA",7
"BP","GO:0002720","positive regulation of cytokine production involved in immune response","4/95","88/18860",0.0454545454545455,9.02392344497608,5.36808876191751,0.00101952640643594,0.0330544802815878,0.0259942117381712,"CD81/IL1R1/WNT5A/NR4A3",4
"BP","GO:2001233","regulation of apoptotic signaling pathway","8/95","406/18860",0.0197044334975369,3.9118485869847,4.22020352162542,0.00102339967096191,0.0330544802815878,0.0259942117381712,"TPT1/GNAI2/MCL1/IER3/FGFR1/WNT5A/YBX3/SERPINE1",8
"BP","GO:0014910","regulation of smooth muscle cell migration","4/95","89/18860",0.0449438202247191,8.92253104671792,5.33042818678699,0.00106342572411699,0.033643128529868,0.0264571277203542,"DDR2/PDGFRB/NR4A3/SERPINE1",4
"BP","GO:0072210","metanephric nephron development","3/95","40/18860",0.075,14.8894736842105,6.25680793861253,0.00106867999753099,0.033643128529868,0.0264571277203542,"EGR1/PDGFRB/PDGFRA",3
"BP","GO:0072203","cell proliferation involved in metanephros development","2/95","10/18860",0.2,39.7052631578947,8.71086324878143,0.00110046703393062,0.0337991741314261,0.0265798427766236,"EGR1/PDGFRB",2
"BP","GO:0043085","positive regulation of catalytic activity","7/95","318/18860",0.0220125786163522,4.37007613373055,4.31242775304067,0.00112849035772321,0.0337991741314261,0.0265798427766236,"GNAS/DDR2/FBN1/FGFR1/WNT5A/PDGFRB/HNRNPU",7
"BP","GO:1901654","response to ketone","6/95","232/18860",0.0258620689655172,5.13430127041742,4.50826926515888,0.00113463885766348,0.0337991741314261,0.0265798427766236,"JUND/GNAS/FOSB/KLF9/GNB1/AHR",6
"BP","GO:0071711","basement membrane organization","3/95","41/18860",0.0731707317073171,14.5263157894737,6.16907468694904,0.00114886263118844,0.0337991741314261,0.0265798427766236,"PXDN/LAMB1/COL4A1",3
"BP","GO:0042475","odontogenesis of dentin-containing tooth","4/95","91/18860",0.043956043956044,8.72643146327357,5.25685422631221,0.00115517885049104,0.0337991741314261,0.0265798427766236,"FAM20C/NFIC/PDGFRA/SERPINE1",4
"BP","GO:0055013","cardiac muscle cell development","4/95","91/18860",0.043956043956044,8.72643146327357,5.25685422631221,0.00115517885049104,0.0337991741314261,0.0265798427766236,"COL14A1/PDGFRB/PDGFRA/HNRNPU",4
"BP","GO:0051146","striated muscle cell differentiation","7/95","321/18860",0.0218068535825545,4.32923430070503,4.28055984328142,0.00119132270018251,0.0344513901785337,0.0270927487997442,"CD81/COL14A1/MYH9/PDGFRB/PDGFRA/ACTG1/HNRNPU",7
"BP","GO:0006979","response to oxidative stress","8/95","418/18860",0.0191387559808612,3.79954671367414,4.11830682088441,0.00123257481461004,0.0350035760616087,0.0275269905921186,"MT-ND1/PXDN/DDR2/EPAS1/MT-ND5/ATP2A2/NR4A3/PDGFRA",8
"BP","GO:0002440","production of molecular mediator of immune response","6/95","236/18860",0.0254237288135593,5.04727921498662,4.4517373695646,0.00123856642276702,0.0350035760616087,0.0275269905921186,"CD81/IL1R1/TWIST1/WNT5A/NR4A3/NFKBIZ",6
"BP","GO:0071456","cellular response to hypoxia","5/95","159/18860",0.0314465408805031,6.24296590532936,4.72378398137127,0.00125855968735659,0.0351689656455712,0.0276570538037675,"JUND/DDR2/TWIST1/EPAS1/NDRG1",5
"BP","GO:0045667","regulation of osteoblast differentiation","5/95","161/18860",0.031055900621118,6.16541353383459,4.68334004415482,0.00133028043056165,0.035469023633018,0.027893020934183,"JUND/FAM20C/DDR2/TWIST1/IL6ST",5
"BP","GO:0051347","positive regulation of transferase activity","5/95","161/18860",0.031055900621118,6.16541353383459,4.68334004415482,0.00133028043056165,0.035469023633018,0.027893020934183,"DDR2/FBN1/FGFR1/WNT5A/PDGFRB",5
"BP","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway","2/95","11/18860",0.181818181818182,36.0956937799043,8.28424369578918,0.0013406064421004,0.035469023633018,0.027893020934183,"GNAS/GNB1",2
"BP","GO:0045843","negative regulation of striated muscle tissue development","2/95","11/18860",0.181818181818182,36.0956937799043,8.28424369578918,0.0013406064421004,0.035469023633018,0.027893020934183,"TWIST1/YBX3",2
"BP","GO:0060900","embryonic camera-type eye formation","2/95","11/18860",0.181818181818182,36.0956937799043,8.28424369578918,0.0013406064421004,0.035469023633018,0.027893020934183,"TWIST1/WNT5A",2
"BP","GO:0014909","smooth muscle cell migration","4/95","96/18860",0.0416666666666667,8.2719298245614,5.08240690216944,0.00140861354430601,0.0368760198388321,0.0289994899204495,"DDR2/PDGFRB/NR4A3/SERPINE1",4
"BP","GO:0001701","in utero embryonic development","8/95","429/18860",0.0186480186480186,3.70212243896454,4.02815403090057,0.00145309134633301,0.0376441476909396,0.0296035495777055,"MYH9/TWIST1/EPAS1/LMAN1/FGFR1/SH3PXD2A/PDGFRA/YBX3",8
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","6/95","245/18860",0.0244897959183673,4.86186895810956,4.32908291095457,0.00149901568553995,0.0381854973947886,0.0300292697435156,"TPT1/GNAI2/MCL1/IER3/YBX3/SERPINE1",6
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","4/95","98/18860",0.0408163265306122,8.1031149301826,5.01613437708526,0.00152004995660799,0.0381854973947886,0.0300292697435156,"GNAI2/DDR2/PDGFRB/NR4A3",4
"BP","GO:0055006","cardiac cell development","4/95","98/18860",0.0408163265306122,8.1031149301826,5.01613437708526,0.00152004995660799,0.0381854973947886,0.0300292697435156,"COL14A1/PDGFRB/PDGFRA/HNRNPU",4
"BP","GO:0036294","cellular response to decreased oxygen levels","5/95","167/18860",0.029940119760479,5.94390167034352,4.56599472645361,0.00156360323594699,0.0383441946717921,0.0301540700908682,"JUND/DDR2/TWIST1/EPAS1/NDRG1",5
"BP","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","2/95","12/18860",0.166666666666667,33.0877192982456,7.91122406213262,0.00160345647200095,0.0383441946717921,0.0301540700908682,"DDR2/COL4A1",2
"BP","GO:0048635","negative regulation of muscle organ development","2/95","12/18860",0.166666666666667,33.0877192982456,7.91122406213262,0.00160345647200095,0.0383441946717921,0.0301540700908682,"TWIST1/YBX3",2
"BP","GO:0072110","glomerular mesangial cell proliferation","2/95","12/18860",0.166666666666667,33.0877192982456,7.91122406213262,0.00160345647200095,0.0383441946717921,0.0301540700908682,"EGR1/PDGFRB",2
"BP","GO:1901862","negative regulation of muscle tissue development","2/95","12/18860",0.166666666666667,33.0877192982456,7.91122406213262,0.00160345647200095,0.0383441946717921,0.0301540700908682,"TWIST1/YBX3",2
"BP","GO:0014911","positive regulation of smooth muscle cell migration","3/95","47/18860",0.0638297872340425,12.6718924972004,5.70043540282754,0.00170984180540895,0.0404988244766863,0.0318484819493717,"DDR2/PDGFRB/NR4A3",3
"BP","GO:0035051","cardiocyte differentiation","5/95","172/18860",0.0290697674418605,5.77111383108935,4.47249061076273,0.00177997084356812,0.0417621461127727,0.0328419645218427,"COL14A1/TWIST1/PDGFRB/PDGFRA/HNRNPU",5
"BP","GO:0046620","regulation of organ growth","4/95","103/18860",0.0388349514563107,7.70975983648441,4.85837180055934,0.00182526279265944,0.0422632512702563,0.0332360361713061,"COL14A1/BASP1/FGFR1/YBX3",4
"BP","GO:0048738","cardiac muscle tissue development","6/95","255/18860",0.0235294117647059,4.67120743034056,4.19962995943469,0.00183531609858773,0.0422632512702563,0.0332360361713061,"COL14A1/MBD2/FGFR1/PDGFRB/PDGFRA/HNRNPU",6
"BP","GO:0048639","positive regulation of developmental growth","5/95","174/18860",0.028735632183908,5.70477918935269,4.43611244332769,0.00187238891293309,0.0427213873987577,0.0335963167574088,"MACF1/BASP1/FGFR1/GOLGA4/YBX3",5
"BP","GO:0003300","cardiac muscle hypertrophy","4/95","105/18860",0.0380952380952381,7.56290726817043,4.79820978072173,0.00195843342367305,0.0442783993152262,0.0348207588630099,"COL14A1/IL6ST/ATP2A2/NR4A3",4
"BP","GO:0045444","fat cell differentiation","6/95","259/18860",0.0231660231660232,4.59906523064418,4.14971530159401,0.00198477995830669,0.0444697996063849,0.0349712770273478,"METRNL/JDP2/WNT5A/NR4A3/PDGFRA/HNRNPU",6
"BP","GO:0055002","striated muscle cell development","5/95","178/18860",0.0280898876404494,5.5765819041987,4.36502167787411,0.00206771148426227,0.0457824196893206,0.0360035281496446,"COL14A1/PDGFRB/PDGFRA/ACTG1/HNRNPU",5
"BP","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","7/95","354/18860",0.019774011299435,3.92566161165626,3.95381453727984,0.00208018231801095,0.0457824196893206,0.0360035281496446,"IL1R1/DDR2/TWIST1/FGFR1/WNT5A/PDGFRB/PDGFRA",7
