"gene_name","module","color","kME_grey","kME_Fibroblasts1","kME_Fibroblasts2","kME_Fibroblasts3","kME_Fibroblasts4","kME_Fibroblasts5","kME_Fibroblasts6","kME_Fibroblasts7","kME_Fibroblasts8","kME_Fibroblasts9"
"ANKRD11","Fibroblasts2","turquoise",0.270762074689079,-0.0132325732739226,0.337575502182918,0.0242330554704358,0.133209663590041,0.0655395724008282,0.0483027271909454,0.109507167928828,0.0454424497585991,0.0503957598024641
"ANKRD12","Fibroblasts2","turquoise",0.212229626711739,0.0227563165063831,0.228179723244975,0.0702396518993911,0.0603311873962914,0.0363086291695291,0.0404554250925951,0.0731323123192314,0.0797943453735842,0.02671546584236
"ANKRD17","Fibroblasts2","turquoise",0.193177243217217,-0.0315532098579702,0.235652300224559,0.00904049008202289,0.0749464835301078,0.117448367199044,0.0461091904666712,0.0823232499400943,0.0309779265865027,0.0319477284809722
"ANKRD40","Fibroblasts6","brown",0.0334347497323347,0.0367497582453055,-0.000954995614718534,-0.000842665077907484,0.0090933733522829,-0.00308245748516675,0.189273280156083,0.0146118529830486,0.021678251007909,0.00597369907134236
"ANKRD46","Fibroblasts3","green",0.0276882318553629,-0.00811819700666096,0.00079855911014277,0.0679485678533911,-0.044368445139527,0.0526680666577533,0.024771691785629,0.0155824891775762,0.0175976519026314,-0.0371163242142236
"ANOS1","Fibroblasts7","pink",0.0648881969621016,-0.109772819263597,0.0851216294075272,0.0827727920367612,-0.0803230526882309,0.236796685538262,0.0259542434372634,0.165918416916892,0.0656751802131206,-0.0668798549700581
"ANP32B","Fibroblasts2","turquoise",0.216324030689672,0.0158414139060068,0.246558221737553,-0.0154516744550465,0.0831395774256624,0.196434472010284,0.0378252705200055,0.110535539559928,0.0558402453499597,0.0467153672328184
"ANP32E","Fibroblasts6","brown",0.0860499943194128,0.0278981718004909,0.0574985923498696,0.0508481880161019,-0.0107032860950216,0.038810801400639,0.114889566836258,0.0501828868178012,0.0460944397526036,0.000114029127231192
"ANTXR1","Fibroblasts5","yellow",0.268663935270749,0.00446779845365664,0.288902329223348,-0.143565834864851,0.0986384347544499,0.281309142699736,0.0419241120147585,0.235499370484597,0.17938488888983,0.0544368056745588
"ANXA2","Fibroblasts1","blue",0.145141742999194,0.202139829417312,-0.0143802616602304,0.193483938913629,-0.039090370843752,0.0750770127039837,0.0508894650487158,0.09485577087737,0.131203752569211,0.0234276794736371
"ANXA4","Fibroblasts1","blue",0.0859812238630747,0.107664186069874,-0.00514035041626178,0.148503512256101,-0.0283969059072161,-0.035226662957992,0.0195150681390119,0.0304735162262173,0.0817533350236965,-0.00139373769402707
